Order Date,Product Name,Category,Region,Quantity,Sales,Profit
12/31/2024,Printer,Office,North,4,3640,348.93
11/27/2022,Mouse,Accessories,East,7,1197,106.53
5/11/2022,Tablet,Electronics,South,5,5865,502.73
3/16/2024,Mouse,Accessories,South,2,786,202.87
9/10/2022,Mouse,Accessories,West,1,509,103.28
12/1/2023,Camera,Electronics,West,1,524,106.35
10/9/2023,Headphones,Accessories,North,7,6167,1027.98
1/14/2022,Camera,Electronics,South,7,3059,873.5
4/2/2022,Smartwatch,Electronics,East,9,5526,595.28
10/22/2024,Printer,Office,South,8,672,186.37
12/4/2023,Monitor,Accessories,South,6,7074,1357.68
9/27/2022,Smartwatch,Electronics,East,2,502,137.4
12/21/2023,Tablet,Electronics,North,7,7462,2166.17
2/3/2024,Smartphone,Electronics,West,5,4205,585.29
10/10/2023,Camera,Electronics,West,1,570,138.54
10/16/2022,Headphones,Accessories,East,1,441,102.42
5/15/2022,Mouse,Accessories,North,7,7469,589.81
2/11/2023,Tablet,Electronics,South,2,2212,145.75
12/27/2023,Tablet,Electronics,East,5,740,146.39
10/5/2023,Headphones,Accessories,North,1,662,193.92
3/5/2024,Mouse,Accessories,North,7,5712,651.27
7/18/2023,Smartwatch,Electronics,North,3,2739,572.73
6/25/2023,Keyboard,Accessories,West,5,1400,213.63
11/13/2023,Printer,Office,North,3,3477,939.2
7/9/2022,Camera,Electronics,North,5,3475,570.36
12/11/2023,Laptop,Electronics,West,9,6138,1562.14
3/18/2023,Camera,Electronics,West,5,3665,406.93
8/9/2024,Printer,Office,North,2,2372,206.42
5/4/2024,Laptop,Electronics,North,2,1382,211.11
9/4/2022,Laptop,Electronics,West,1,1126,194.08
10/21/2022,Printer,Office,West,8,1376,152.1
1/22/2024,Mouse,Accessories,West,4,988,147.91
4/9/2023,Laptop,Electronics,North,9,10773,1907.36
2/7/2023,Headphones,Accessories,South,4,3252,713.46
5/4/2023,Headphones,Accessories,North,3,2739,202.81
4/18/2023,Tablet,Electronics,South,7,2709,702.79
12/12/2022,Printer,Office,West,3,936,201.24
9/11/2022,Camera,Electronics,West,4,3720,410.92
3/26/2024,Mouse,Accessories,West,5,5320,716.91
9/20/2023,Headphones,Accessories,East,4,804,121.51
5/25/2023,Laptop,Electronics,North,8,1224,246.77
12/4/2022,Headphones,Accessories,South,9,8667,781.78
6/10/2022,Monitor,Accessories,West,3,3018,320.11
2/5/2023,Laptop,Electronics,West,5,4325,1023.39
1/20/2024,Laptop,Electronics,South,3,1557,181.08
1/27/2022,Monitor,Accessories,South,6,3672,1002.5
3/29/2023,Mouse,Accessories,West,1,333,72.34
1/17/2022,Headphones,Accessories,West,4,2384,577.26
11/26/2024,Mouse,Accessories,West,6,888,210.39
9/19/2024,Laptop,Electronics,West,5,3280,954.17
7/20/2023,Mouse,Accessories,South,7,1239,177.39
5/3/2024,Headphones,Accessories,East,8,5880,436.85
9/3/2022,Smartphone,Electronics,West,2,1668,437.3
7/9/2024,Printer,Office,West,7,4109,1037.64
11/17/2022,Smartwatch,Electronics,West,7,595,148.5
12/28/2023,Headphones,Accessories,East,7,8155,1587.91
5/30/2022,Monitor,Accessories,South,3,1872,553.1
4/17/2024,Smartwatch,Electronics,East,6,2124,126.03
9/30/2024,Monitor,Accessories,West,5,5210,1338.8
6/2/2024,Mouse,Accessories,South,7,5761,362.48
9/26/2022,Headphones,Accessories,South,7,6895,1596.35
12/17/2024,Smartwatch,Electronics,East,3,2118,317.08
10/9/2024,Smartwatch,Electronics,North,5,830,58.28
7/14/2023,Smartwatch,Electronics,North,1,851,93.56
